RodneyTesturp-disp-GettelNissan

Date/Time Generated,11/3/14 10:38 PM
Report Time Zone,America/New_York
Account ID,5853
Date Range,10/27/14 - 11/3/14
Advertiser,Equals:Gettel Nissan (4494571)
Ad Type,Equals:In-Stream Video (35)
Ad Type,Equals:InStream Default Ad (100)

Report Fields
Date,Package/Roadblock,Creative Groups 1,Creative Groups 2,Site (DFA),Creative Pixel Size,Ad Type,Impressions,Media Cost,Clicks,Gettel Nissan Confirmation : Confirmation: Click-through Conversions,Gettel Nissan Confirmation : Confirmation: View-through Conversions,Gettel Nissan Website : Retargeting: Click-through Conversions,Gettel Nissan Website : Retargeting: View-through Conversions,Gettel Nissan Confirmation : Dealer Location: Click-through Conversions,Gettel Nissan Confirmation : Dealer Location: View-through Conversions
2014-10-27,Video - Behavioral2,Nissan Rogue,Product Advertisements,The Trade Desk,0x0,In-Stream Video,2259,34.551314000,2,0,0,1,2,0,0
2014-10-27,Video - Retargeting2,Nissan Rogue,Product Advertisements,The Trade Desk,0x0,InStream Default Ad,0,0.000000000,0,0,0,0,12,0,0
2014-10-27,Video - Retargeting2,Nissan Rogue,Product Advertisements,The Trade Desk,0x0,In-Stream Video,731,9.052075000,3,0,0,1,15,0,0
2014-10-28,Video - Behavioral2,Nissan Rogue,Product Advertisements,The Trade Desk,0x0,InStream Default Ad,0,0.000000000,0,0,0,0,1,0,0
2014-10-28,Video - Behavioral2,Nissan Rogue,Product Advertisements,The Trade Desk,0x0,In-Stream Video,2364,36.157285000,0,0,0,0,2,0,0
2014-10-28,Video - Retargeting2,Nissan Rogue,Product Advertisements,The Trade Desk,0x0,InStream Default Ad,0,0.000000000,0,0,0,0,8,0,1
2014-10-28,Video - Retargeting2,Nissan Rogue,Product Advertisements,The Trade Desk,0x0,In-Stream Video,732,9.064458000,1,0,1,0,17,0,0
2014-10-29,Video - Behavioral2,Nissan Rogue,Product Advertisements,The Trade Desk,0x0,InStream Default Ad,0,0.000000000,0,0,0,0,1,0,0
2014-10-29,Video - Behavioral2,Nissan Rogue,Product Advertisements,The Trade Desk,0x0,In-Stream Video,2229,34.092465000,1,0,0,1,3,0,0
2014-10-29,Video - Retargeting2,Nissan Rogue,Product Advertisements,The Trade Desk,0x0,InStream Default Ad,0,0.000000000,0,0,0,0,5,0,0
2014-10-29,Video - Retargeting2,Nissan Rogue,Product Advertisements,The Trade Desk,0x0,In-Stream Video,689,8.531983000,0,0,0,2,21,0,1
2014-10-30,Video - Behavioral2,Nissan Rogue,Product Advertisements,The Trade Desk,0x0,InStream Default Ad,0,0.000000000,0,0,0,0,1,0,0
2014-10-30,Video - Behavioral2,Nissan Rogue,Product Advertisements,The Trade Desk,0x0,In-Stream Video,2255,34.490134000,4,0,0,2,2,0,0
2014-10-30,Video - Retargeting2,Nissan Rogue,Product Advertisements,The Trade Desk,0x0,InStream Default Ad,0,0.000000000,0,0,0,2,4,0,0
2014-10-30,Video - Retargeting2,Nissan Rogue,Product Advertisements,The Trade Desk,0x0,In-Stream Video,697,8.631048000,1,0,0,0,19,0,1
2014-10-31,Video - Behavioral2,Nissan Rogue,Product Advertisements,The Trade Desk,0x0,In-Stream Video,2149,32.868869000,3,0,0,1,5,0,0
2014-10-31,Video - Retargeting2,Nissan Rogue,Product Advertisements,The Trade Desk,0x0,InStream Default Ad,0,0.000000000,0,0,0,0,7,0,0
2014-10-31,Video - Retargeting2,Nissan Rogue,Product Advertisements,The Trade Desk,0x0,In-Stream Video,686,8.494834000,1,0,0,0,21,0,0
2014-11-01,Video - Behavioral2,Nissan Rogue,Product Advertisements,The Trade Desk,0x0,InStream Default Ad,0,0.000000000,0,0,0,0,1,0,0
2014-11-01,Video - Behavioral2,Nissan Rogue,Product Advertisements,The Trade Desk,0x0,In-Stream Video,2225,11.125000000,4,0,0,4,0,0,0
2014-11-01,Video - Retargeting2,Nissan Rogue,Product Advertisements,The Trade Desk,0x0,InStream Default Ad,0,0.000000000,0,0,0,1,5,0,0
2014-11-01,Video - Retargeting2,Nissan Rogue,Product Advertisements,The Trade Desk,0x0,In-Stream Video,668,3.340000000,0,0,0,0,20,0,0
2014-11-02,Video - Behavioral2,Nissan Rogue,Product Advertisements,The Trade Desk,0x0,InStream Default Ad,0,0.000000000,0,0,0,0,1,0,0
2014-11-02,Video - Behavioral2,Nissan Rogue,Product Advertisements,The Trade Desk,0x0,In-Stream Video,2305,11.525000000,10,0,0,3,4,0,0
2014-11-02,Video - Retargeting2,Nissan Rogue,Product Advertisements,The Trade Desk,0x0,InStream Default Ad,0,0.000000000,0,0,0,1,5,0,0
2014-11-02,Video - Retargeting2,Nissan Rogue,Product Advertisements,The Trade Desk,0x0,In-Stream Video,703,3.515000000,2,0,0,2,25,0,0
2014-11-03,Video - Behavioral2,Nissan Rogue,Product Advertisements,The Trade Desk,0x0,In-Stream Video,1586,7.930000000,4,0,0,3,2,0,0
2014-11-03,Video - Retargeting2,Nissan Rogue,Product Advertisements,The Trade Desk,0x0,InStream Default Ad,0,0.000000000,0,0,0,0,5,0,0
2014-11-03,Video - Retargeting2,Nissan Rogue,Product Advertisements,The Trade Desk,0x0,In-Stream Video,492,2.460000000,2,0,0,1,21,0,0
Grand Total:,---,---,---,---,---,---,22770,255.829465000,38,0,1,25,235,0,3
